timestamp,catalog,instrument,technique,long,lat,speed,type,half_width,time_21_5,earth_prediction,PE
1/15/16 0:00,M2M_CATALOG,SOHO: LASCO/C2,,31,-30,483,S,45,2016-01-15T11:43Z,2016-01-18T12:38Z,-8.4
2/5/16 21:12,M2M_CATALOG,SOHO: LASCO/C2,,44,-31,364,S,35,2016-02-06T05:35Z,2016-02-09T18:00Z,-45.9
3/23/16 5:00,M2M_CATALOG,SOHO: LASCO/C2,,10,23,503,C,20,2016-03-23T11:26Z,2016-03-26T04:00Z,-19.7
4/6/16 16:24,M2M_CATALOG,STEREO A: SECCHI/COR2,,14,23,464,S,31,2016-04-06T23:36Z,2016-04-09T18:00Z,-15
4/10/16 7:12,M2M_CATALOG,SOHO: LASCO/C2,,-53,28,352,S,36,2016-04-10T07:12Z,2016-04-14T00:00Z,-6.8
4/10/16 11:00,M2M_CATALOG,SOHO: LASCO/C2,,-24,34,521,C,35,2016-04-10T11:00Z,2016-04-14T00:00Z,-6.8
5/2/16 9:12,M2M_CATALOG,SOHO: LASCO/C2,,-37,3,386,S,36,2016-05-02T18:15Z,2016-05-06T10:00Z,-5.8
7/17/16 12:48,M2M_CATALOG,SOHO: LASCO/C2,,-22,-2,584,C,29,2016-07-17T19:14Z,2016-07-21T00:04Z,25
7/28/16 22:24,M2M_CATALOG,SOHO: LASCO/C2,,10,7,350,S,45,2016-07-29T08:50Z,2016-08-01T12:00Z,-16.3
10/8/16 21:09,M2M_CATALOG,STEREO A: SECCHI/COR2,,-22,10,243,S,37,2016-10-09T15:56Z,2016-10-14T00:00Z,26.6
11/5/16 4:48,M2M_CATALOG,SOHO: LASCO/C2,,26,23,487,S,35,2016-11-05T12:17Z,2016-11-08T16:00Z,-13.5
5/13/17 22:00,M2M_CATALOG,SOHO: LASCO/C2,,4,-23,340,S,25,2017-05-14T07:02Z,2017-05-17T12:00Z,-9.6
5/23/17 5:00,M2M_CATALOG,STEREO A: SECCHI/COR2,,12,-7,375,S,26,2017-05-23T15:27Z,2017-05-26T18:00Z,-20.8
6/28/17 16:24,M2M_CATALOG,SOHO: LASCO/C2,,17,37,400,S,39,2017-06-29T02:08Z,2017-07-02T19:30Z,27.1
7/14/17 1:36,M2M_CATALOG,SOHO: LASCO/C2,,40,-9,750,C,49,2017-07-14T05:29Z,2017-07-16T23:06Z,17.9
9/4/17 19:39,M2M_CATALOG,STEREO A: SECCHI/COR2,,26,-6,710,C,25,2017-09-04T23:45Z,2017-09-07T03:45Z,4.6
9/4/17 20:36,M2M_CATALOG,SOHO: LASCO/C3,,10,-10,1114,O,46,2017-09-04T23:05Z,2017-09-07T03:45Z,4.6
9/6/17 12:24,M2M_CATALOG,STEREO A: SECCHI/COR2,,23,-15,1238,O,44,2017-09-06T14:57Z,2017-09-08T18:35Z,20.1
9/10/17 16:09,M2M_CATALOG,STEREO A: SECCHI/COR2,,85,-12,2650,R,54,2017-09-10T17:18Z,2017-09-13T02:00Z,6.6
11/10/17 6:23,M2M_CATALOG,SOHO: LASCO/C2,SWPC_CAT,90,11,370,S,27,2017-11-10T18:37Z,2017-11-14T00:00Z,-0.8
2/12/18 1:25,M2M_CATALOG,SOHO: LASCO/C2,SWPC_CAT,22,-7,554,C,49,2018-02-12T07:21Z,2018-02-15T06:42Z,-0.9
3/5/18 23:39,M2M_CATALOG,STEREO A: SECCHI/COR2,SWPC_CAT,-12,-12,386,S,29,2018-03-06T09:54Z,2018-03-10T00:00Z,0.5
7/5/18 4:39,M2M_CATALOG,STEREO A: SECCHI/COR2,SWPC_CAT,-10,-5,260,S,22,2018-07-05T22:56Z,2018-07-10T00:00Z,-11.4
8/20/18 21:24,M2M_CATALOG,SOHO: LASCO/C2,SWPC_CAT,0,10,309,S,19,2018-08-21T18:06Z,2018-08-25T00:00Z,-6
3/8/19 4:17,M2M_CATALOG,SOHO: LASCO/C2,,3,7,340,S,27,2019-03-08T14:44Z,2019-03-11T18:00Z,-8
3/20/19 8:24,M2M_CATALOG,STEREO A: SECCHI/COR2,SWPC_CAT,14,1,541,C,41,2019-03-20T18:19Z,2019-03-23T11:11Z,-33.5
5/10/19 19:09,M2M_CATALOG,STEREO A: SECCHI/COR2,SWPC_CAT,10,-5,471,S,24,2019-05-11T02:31Z,2019-05-14T23:50Z,25.7
5/11/19 2:39,M2M_CATALOG,STEREO A: SECCHI/COR2,SWPC_CAT,2,0,362,S,28,2019-05-11T12:18Z,2019-05-15T10:15Z,36.1
5/12/19 19:54,M2M_CATALOG,STEREO A: SECCHI/COR2,SWPC_CAT,-15,-15,528,C,26,2019-05-13T02:33Z,2019-05-16T07:25Z,-13.1
5/13/19 16:09,M2M_CATALOG,STEREO A: SECCHI/COR2,SWPC_CAT,10,-13,594,C,27,2019-05-13T21:49Z,2019-05-16T19:15Z,3.1
10/25/19 5:54,M2M_CATALOG,STEREO A: SECCHI/COR2,,3,-5,262,S,17,2019-10-25T20:56Z,2019-10-29T19:00Z,4
7/9/20 1:24,M2M_CATALOG,STEREO A: SECCHI/COR2,,12,-12,125,S,25,2020-07-10T05:32Z,2020-07-14T03:00Z,6.4
7/19/20 9:36,M2M_CATALOG,STEREO A: SECCHI/COR2,,-5,8,278,S,23,2020-07-19T21:04Z,2020-07-24T00:00Z,-0.3
10/27/20 3:39,M2M_CATALOG,STEREO A: SECCHI/COR2,SWPC_CAT,-10,1,190,S,19,2020-10-27T14:00Z,2020-11-01T00:00Z,-8.7
11/29/20 13:24,M2M_CATALOG,STEREO A: SECCHI/COR2,,-75,-6,1336,O,58,2020-11-29T16:00Z,2020-12-02T02:00Z,5
12/7/20 16:24,M2M_CATALOG,STEREO A: SECCHI/COR2,SWPC_CAT,12,-21,1383,O,41,2020-12-07T18:49Z,2020-12-09T05:23Z,-20.1
